tax_id,genus_tax_id,name,category,is_phage,sample,condition,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length
451788,1003313,Acanthoceras zachariasii,eukaryota,FALSE,roomtemp,filter,40.90350142,136,1,132,98.4797,77.6136
81533,81532,Acanthoeca spectabilis,eukaryota,FALSE,roomtemp,filter,67.06971189,223,2,162,94.7456,240.444
136180,121148,Acartia tonsa,eukaryota,FALSE,frozen,filter,152.6630902,605,6,581,98.2146,306.311
431306,434,Acetobacter ghanensis,bacteria,FALSE,roomtemp,filter,9.624353276,32,1,28,85.2362,282.897
112087,4765,Achlya racemosa,eukaryota,FALSE,frozen,filter,11.1027702,44,1,44,96.6101,118
1811234,12916,Acidovorax sp. ALBL_202,bacteria,FALSE,frozen,filter,27.75692549,110,1,110,100,218
1324350,469,Acinetobacter equi,bacteria,FALSE,roomtemp,flowthrough,312.2291123,1198,4,1146,99.466,97.2383
1324350,469,Acinetobacter equi,bacteria,FALSE,roomtemp,filter,27.67001567,92,1,85,83.4842,162.739
2609668,469,Acinetobacter sp. C16S1,bacteria,FALSE,frozen,flowthrough,46.60270604,142,1,142,100,401
1522273,469,Acinetobacter sp. MSSRF QS99,bacteria,FALSE,roomtemp,flowthrough,25.80190494,99,2,94,95.3375,93.1263
1335100,49230,Actinocyclus sp. 1 MPA-2013,eukaryota,FALSE,frozen,filter,51.72881569,205,1,191,97.5182,334.43
1630683,49230,Actinocyclus subtilis,eukaryota,FALSE,frozen,filter,47.69144471,189,3,142,91.9563,276.023
1866,1865,Actinoplanes missouriensis,bacteria,FALSE,roomtemp,filter,6.015220798,20,1,18,91.1686,68.5
1334851,216789,Actinoptychus undulatus,eukaryota,FALSE,frozen,filter,48.95312314,194,3,180,99.7823,383.437
361139,133407,Acytostelium subglobosum,eukaryota,FALSE,frozen,filter,15.14014118,60,1,47,83.356,179.368
160623,160622,Adenoides eludens,eukaryota,FALSE,frozen,filter,30.78495373,122,1,21,96.5527,130.953
2576559,558774,Adeonellopsis sp. BLEED301,eukaryota,FALSE,frozen,filter,7.317734903,29,1,28,84.5575,446.286
2494375,153265,Aequorivita sp. H23M31,bacteria,FALSE,frozen,filter,8.579413335,34,1,16,88.3205,216.758
218936,642,Aeromonas simiae,bacteria,FALSE,roomtemp,flowthrough,400.3204645,1536,1,1532,95.9293,123.598
1920107,642,Aeromonas sp. ASNIH7,bacteria,FALSE,frozen,filter,78.98106982,313,7,312,99.964,196.038
760022,642,Aeromonas sp. symbiont of Sitobion miscanthi,bacteria,FALSE,roomtemp,flowthrough,5.212506048,20,2,20,96.951,82
680279,261825,Agarivorans gilvus,bacteria,FALSE,roomtemp,flowthrough,114.6751331,440,2,422,87.0784,294.882
680279,261825,Agarivorans gilvus,bacteria,FALSE,roomtemp,filter,11.12815848,37,1,19,88.8225,88.6111
28099,357,Agrobacterium rubi,bacteria,FALSE,roomtemp,flowthrough,57.07694123,219,2,219,93.5891,61
28023,28022,Ahnfeltia plicata,eukaryota,FALSE,frozen,filter,12.11211294,48,1,46,98.7459,103.739
143672,143671,Akashiwo sanguinea,eukaryota,FALSE,frozen,filter,575.5777005,2281,7,2232,90.4595,207.728
